[212, 116]
[273, 118]
[273, 118]
[273, 119]
[273, 119]
[273, 119]
[212, 118]
[212, 118]
[212, 119]
[212, 119]
[212, 118]
[212, 119]
[212, 119]
[212, 119]
[212, 119]
[212, 119]
[212, 119]
[212, 120]
[212, 120]
[273, 119]
[273, 119]
[273, 119]
[273, 119]
[212, 120]
[212, 120]
[212, 120]
[213, 115]
[213, 115]
[183, 136]
[183, 136]
[212, 120]
[212, 119]
[212, 119]
[212, 119]
[212, 118]
[212, 115]
[212, 115]
[212, 115]
[212, 116]
[212, 116]
[212, 114]
[212, 114]
[213, 114]
[213, 114]
[213, 113]
[213, 113]
[213, 114]
[213, 115]
[213, 115]
[213, 115]
[213, 115]
[212, 119]
[212, 119]
[213, 115]
[213, 115]
[212, 118]
[212, 115]
[212, 115]
[212, 114]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[272, 116]
[272, 116]
[196, 127]
[196, 127]
[212, 118]
[212, 118]
[212, 119]
[212, 119]
[212, 121]
[212, 121]
[212, 121]
[212, 121]
[212, 121]
[213, 116]
[213, 116]
[212, 118]
[212, 118]
[212, 117]
[212, 116]
[212, 116]
[212, 118]
[212, 118]
[212, 117]
[212, 117]
[212, 117]
[212, 118]
[212, 118]
[212, 117]
[212, 117]
[212, 117]
[212, 117]
[212, 117]
[212, 118]
[212, 118]
[212, 117]
[212, 117]
[212, 117]
[212, 117]
[212, 116]
[212, 116]
[273, 117]
[273, 117]
[213, 117]
[213, 117]
[213, 117]
[212, 118]
[212, 118]
[212, 118]
[213, 117]
[213, 117]
[212, 119]
[212, 119]
[212, 118]
[212, 118]
[273, 118]
[273, 118]
[273, 116]
[273, 118]
[273, 118]
[273, 118]
[273, 118]
[273, 118]
[273, 118]
[273, 117]
[273, 117]
[273, 118]
[273, 118]
[273, 118]
[273, 115]
[273, 115]
[273, 115]
[273, 115]
[212, 118]
[212, 116]
[212, 116]
[212, 117]
[212, 117]
[213, 114]
[213, 114]
[213, 114]
[212, 115]
[212, 115]
[213, 113]
[213, 113]
[213, 114]
[213, 114]
[213, 114]
[213, 114]
[213, 113]
[213, 113]
[214, 113]
[212, 119]
[212, 119]
[273, 116]
[273, 116]
[273, 116]
[273, 116]
[273, 116]
[273, 116]
[273, 116]
[212, 119]
[212, 119]
[273, 116]
[273, 116]
[213, 117]
[213, 116]
[213, 116]
[273, 119]
[273, 119]
[212, 117]
[212, 117]
[212, 120]
[212, 120]
[212, 119]
[212, 119]
[212, 119]
[212, 118]
[212, 118]
[213, 119]
[213, 119]
[212, 120]
[212, 120]
[212, 120]
[213, 120]
[213, 120]
[212, 121]
[212, 121]
[213, 119]
[212, 121]
[212, 121]
[212, 120]
[212, 120]
[273, 117]
[273, 117]
[212, 119]
[212, 119]
[212, 120]
[212, 120]
[212, 118]
[212, 118]
[212, 123]
[212, 119]
[212, 119]
[272, 120]
[272, 120]
[212, 118]
[212, 118]
[212, 119]
[196, 127]
[196, 127]
[213, 116]
[213, 116]
[213, 116]
[213, 117]
[213, 117]
[212, 120]
[212, 120]
[212, 120]
[212, 120]
[212, 120]
[212, 120]
[184, 136]
[184, 136]
[212, 119]
[272, 119]
[272, 119]
[212, 116]
[212, 116]
[212, 118]
[212, 118]
[273, 120]
[273, 120]
[273, 120]
[273, 118]
[273, 118]
[212, 119]
[212, 119]
[212, 118]
[212, 119]
[212, 119]
[212, 118]
[212, 118]
[212, 118]
[212, 118]
[212, 121]
[212, 121]
[212, 121]
[212, 121]
[212, 117]
[212, 120]
[212, 120]
[212, 120]
[212, 120]
[212, 121]
[212, 121]
[212, 120]
[212, 120]
[212, 121]
[212, 118]
[212, 118]
[212, 120]
[212, 120]
[212, 121]
[212, 119]
[212, 119]
[273, 121]
[273, 121]
[212, 116]
[212, 116]
[273, 121]
[273, 121]
[212, 118]
[212, 118]
[212, 118]
[184, 130]
[184, 130]
[212, 116]
[212, 116]
[212, 117]
[212, 117]
[212, 116]
[212, 116]
[212, 118]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[211, 118]
[212, 116]
[212, 116]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 114]
[212, 113]
[212, 113]
[273, 114]
[273, 114]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[272, 115]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 112]
[212, 113]
[212, 112]
[212, 111]
[212, 111]
[212, 111]
[212, 111]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[211, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[211, 113]
[272, 113]
[272, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 114]
[212, 114]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 111]
[212, 111]
[212, 111]
[212, 112]
[212, 112]
[212, 113]
[212, 113]
[212, 113]
[212, 110]
[212, 110]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 110]
[212, 110]
[212, 113]
[212, 113]
[212, 110]
[212, 110]
[212, 110]
[212, 114]
[212, 114]
[212, 114]
[212, 114]
[212, 115]
[212, 115]
[212, 114]
[212, 110]
[212, 110]
[196, 123]
[196, 123]
[212, 114]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 114]
[212, 114]
[212, 114]
[212, 114]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 114]
[211, 117]
[212, 113]
[212, 114]
[212, 114]
[273, 114]
[273, 114]
[212, 118]
[212, 118]
[212, 118]
[212, 118]
[212, 117]
[212, 117]
[212, 117]
[212, 116]
[212, 116]
[212, 115]
[212, 115]
[212, 112]
[212, 112]
[212, 115]
[273, 112]
[273, 112]
[212, 113]
[212, 113]
[212, 115]
[212, 114]
[212, 114]
[213, 113]
[213, 113]
[213, 114]
[213, 114]
[213, 113]
[213, 113]
[212, 114]
[212, 113]
[212, 113]
[212, 114]
[212, 114]
[212, 114]
[212, 114]
[212, 113]
[212, 115]
[213, 112]
[213, 112]
[212, 112]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 112]
[212, 112]
[212, 111]
[212, 111]
[212, 111]
[212, 111]
[273, 113]
[273, 113]
[273, 112]
[212, 111]
[212, 111]
[273, 115]
[273, 115]
[273, 115]
[273, 115]
